"Month","Day","Year","Temp"
1,1,1995,20.6
1,2,1995,22.7
1,3,1995,17.8
1,4,1995,12.4
1,5,1995,4.4
1,6,1995,21
1,7,1995,23
1,8,1995,4.6
1,9,1995,14.4
1,10,1995,-2.8
1,11,1995,-8.1
1,12,1995,8.6
1,13,1995,27.7
1,14,1995,31.1
1,15,1995,44
1,16,1995,36.4
1,17,1995,29.7
1,18,1995,29.2
1,19,1995,32.4
1,20,1995,34.8
1,21,1995,34.2
1,22,1995,29.4
1,23,1995,27.6
1,24,1995,27.6
1,25,1995,22
1,26,1995,12.3
1,27,1995,8.1
1,28,1995,5.2
1,29,1995,11.1
1,30,1995,18.9
1,31,1995,27.1
2,1,1995,31.8
2,2,1995,10.7
2,3,1995,9.7
2,4,1995,11.2
2,5,1995,1.5
2,6,1995,-13.9
2,7,1995,-4.7
2,8,1995,-1.3
2,9,1995,14.1
2,10,1995,13.9
2,11,1995,18
2,12,1995,2.1
2,13,1995,10.1
2,14,1995,13.4
2,15,1995,16.4
2,16,1995,30.1
2,17,1995,22.8
2,18,1995,30
2,19,1995,34
2,20,1995,25.8
2,21,1995,24.2
2,22,1995,13.1
2,23,1995,23.5
2,24,1995,23.2
2,25,1995,5.5
2,26,1995,1.1
2,27,1995,3.2
2,28,1995,18.2
3,1,1995,23.4
3,2,1995,15.8
3,3,1995,11.5
3,4,1995,19.1
3,5,1995,21.9
3,6,1995,25.8
3,7,1995,28.4
3,8,1995,33.3
3,9,1995,13.7
3,10,1995,10.1
3,11,1995,18.3
3,12,1995,24.3
3,13,1995,40
3,14,1995,48.6
3,15,1995,46.5
3,16,1995,45.3
3,17,1995,40.5
3,18,1995,36.7
3,19,1995,38.2
3,20,1995,40.9
3,21,1995,43.9
3,22,1995,38.3
3,23,1995,38.1
3,24,1995,33.5
3,25,1995,35.2
3,26,1995,39.7
3,27,1995,36.4
3,28,1995,41.6
3,29,1995,44.8
3,30,1995,42.9
3,31,1995,36.4
4,1,1995,31
4,2,1995,34.1
4,3,1995,35.6
4,4,1995,34.7
4,5,1995,13.6
4,6,1995,19.3
4,7,1995,23.1
4,8,1995,31.6
4,9,1995,36.9
4,10,1995,29.7
4,11,1995,39.1
4,12,1995,46.1
4,13,1995,46.4
4,14,1995,40.4
4,15,1995,34.9
4,16,1995,36.9
4,17,1995,35.4
4,18,1995,41.5
4,19,1995,51.1
4,20,1995,44.2
4,21,1995,45.2
4,22,1995,48.4
4,23,1995,39.3
4,24,1995,39.3
4,25,1995,45.9
4,26,1995,48.3
4,27,1995,44.8
4,28,1995,47.5
4,29,1995,44.2
4,30,1995,46.6
5,1,1995,52
5,2,1995,53.4
5,3,1995,58
5,4,1995,56.6
5,5,1995,55.9
5,6,1995,48.8
5,7,1995,41.7
5,8,1995,47.3
5,9,1995,57.6
5,10,1995,56.3
5,11,1995,53.2
5,12,1995,55.1
5,13,1995,57
5,14,1995,60.6
5,15,1995,55.9
5,16,1995,53.5
5,17,1995,53.1
5,18,1995,51.5
5,19,1995,54.4
5,20,1995,55.3
5,21,1995,58.7
5,22,1995,55.5
5,23,1995,58.8
5,24,1995,58.7
5,25,1995,58.3
5,26,1995,63
5,27,1995,60
5,28,1995,59.1
5,29,1995,59.6
5,30,1995,64.9
5,31,1995,71.1
6,1,1995,69.7
6,2,1995,67.5
6,3,1995,62.4
6,4,1995,61.9
6,5,1995,65.8
6,6,1995,68.3
6,7,1995,71.2
6,8,1995,54.7
6,9,1995,57.2
6,10,1995,62
6,11,1995,67.9
6,12,1995,60.6
6,13,1995,63.2
6,14,1995,66.6
6,15,1995,64.6
6,16,1995,66.9
6,17,1995,70.6
6,18,1995,76.9
6,19,1995,82
6,20,1995,75.1
6,21,1995,66.6
6,22,1995,68.9
6,23,1995,74.7
6,24,1995,75.9
6,25,1995,79.6
6,26,1995,76.8
6,27,1995,71.5
6,28,1995,70.9
6,29,1995,75.4
6,30,1995,76.1
7,1,1995,74.8
7,2,1995,65.4
7,3,1995,63.5
7,4,1995,70.7
7,5,1995,75.4
7,6,1995,79.3
7,7,1995,73.6
7,8,1995,63.1
7,9,1995,60.1
7,10,1995,62.9
7,11,1995,67.5
7,12,1995,71
7,13,1995,76.7
7,14,1995,83.3
7,15,1995,78.7
7,16,1995,67.5
7,17,1995,60.5
7,18,1995,69.4
7,19,1995,69.5
7,20,1995,67.9
7,21,1995,71
7,22,1995,73.2
7,23,1995,70.8
7,24,1995,69.7
7,25,1995,70.8
7,26,1995,76.1
7,27,1995,74.6
7,28,1995,73.1
7,29,1995,77.5
7,30,1995,73.5
7,31,1995,74.3
8,1,1995,73.9
8,2,1995,64.2
8,3,1995,66.1
8,4,1995,69.5
8,5,1995,67.8
8,6,1995,65.7
8,7,1995,66.7
8,8,1995,68.8
8,9,1995,71.4
8,10,1995,72.4
8,11,1995,72.1
8,12,1995,74.8
8,13,1995,67.7
8,14,1995,70.7
8,15,1995,76.4
8,16,1995,75.4
8,17,1995,77.6
8,18,1995,76.6
8,19,1995,70.7
8,20,1995,73.2
8,21,1995,76
8,22,1995,66.4
8,23,1995,64.2
8,24,1995,63.9
8,25,1995,58.3
8,26,1995,61.9
8,27,1995,66.4
8,28,1995,63.8
8,29,1995,69
8,30,1995,64.2
8,31,1995,62.7
9,1,1995,66.1
9,2,1995,60.7
9,3,1995,58.7
9,4,1995,64.3
9,5,1995,66.4
9,6,1995,60.7
9,7,1995,61.1
9,8,1995,49.3
9,9,1995,54.1
9,10,1995,51.3
9,11,1995,54.6
9,12,1995,59.8
9,13,1995,68.6
9,14,1995,59.2
9,15,1995,50.6
9,16,1995,53.5
9,17,1995,62.3
9,18,1995,49.9
9,19,1995,52.1
9,20,1995,53.3
9,21,1995,56.2
9,22,1995,56.5
9,23,1995,46.5
9,24,1995,45.6
9,25,1995,47.3
9,26,1995,52.5
9,27,1995,55.5
9,28,1995,49.4
9,29,1995,48.2
9,30,1995,56
10,1,1995,57.8
10,2,1995,62.3
10,3,1995,51.1
10,4,1995,50
10,5,1995,52.9
10,6,1995,49.6
10,7,1995,56.6
10,8,1995,54.9
10,9,1995,51.9
10,10,1995,50.9
10,11,1995,55.4
10,12,1995,60.9
10,13,1995,63.4
10,14,1995,58.3
10,15,1995,52
10,16,1995,43.2
10,17,1995,42.4
10,18,1995,53.7
10,19,1995,47.4
10,20,1995,53.3
10,21,1995,57
10,22,1995,46
10,23,1995,51.8
10,24,1995,51.1
10,25,1995,47.8
10,26,1995,46.1
10,27,1995,49.7
10,28,1995,55.3
10,29,1995,41.6
10,30,1995,31.3
10,31,1995,32.2
11,1,1995,33.2
11,2,1995,39.7
11,3,1995,48.9
11,4,1995,32.9
11,5,1995,32.4
11,6,1995,39.3
11,7,1995,36.3
11,8,1995,33.6
11,9,1995,18.4
11,10,1995,23
11,11,1995,45.4
11,12,1995,33.4
11,13,1995,23.3
11,14,1995,29.3
11,15,1995,31.5
11,16,1995,29.1
11,17,1995,22.5
11,18,1995,21.2
11,19,1995,28
11,20,1995,30.1
11,21,1995,35.1
11,22,1995,27
11,23,1995,26.3
11,24,1995,15.2
11,25,1995,14.3
11,26,1995,28.8
11,27,1995,23.2
11,28,1995,19.4
11,29,1995,10.8
11,30,1995,6.6
12,1,1995,27.8
12,2,1995,20.1
12,3,1995,12.5
12,4,1995,22.7
12,5,1995,15.4
12,6,1995,25.6
12,7,1995,18.5
12,8,1995,5.5
12,9,1995,7.1
12,10,1995,9.4
12,11,1995,7.4
12,12,1995,1.2
12,13,1995,-0.9
12,14,1995,3.5
12,15,1995,16.7
12,16,1995,20.4
12,17,1995,22.4
12,18,1995,12.3
12,19,1995,5
12,20,1995,5.7
12,21,1995,11.7
12,22,1995,21.4
12,23,1995,23.9
12,24,1995,18.8
12,25,1995,18.7
12,26,1995,16
12,27,1995,16.2
12,28,1995,19.1
12,29,1995,18.9
12,30,1995,25.5
12,31,1995,28.4
